Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AdminTests,Chrome 73.0.3683.103,,2019-04-16 12:34:11,2019-04-16 13:10:05,35m - 53.407s,FAILED
,,,,,,
Test Cases/property(owner),Chrome 73.0.3683.103,,2019-04-16 12:34:12,2019-04-16 12:38:19,4m - 7.403s,PASSED
faker = new com.github.javafaker.Faker(),Chrome 73.0.3683.103,,2019-04-16 12:34:13,2019-04-16 12:34:13,0.416s,PASSED
ownerfirst = name().firstName(),Chrome 73.0.3683.103,,2019-04-16 12:34:13,2019-04-16 12:34:13,0.011s,PASSED
ownermiddle = name().firstName(),Chrome 73.0.3683.103,,2019-04-16 12:34:13,2019-04-16 12:34:13,0.002s,PASSED
ownerlast = name().firstName(),Chrome 73.0.3683.103,,2019-04-16 12:34:13,2019-04-16 12:34:13,0.003s,PASSED
ownerphcode = address().countryCode(),Chrome 73.0.3683.103,,2019-04-16 12:34:13,2019-04-16 12:34:13,0.009s,PASSED
ownermobcode = address().countryCode(),Chrome 73.0.3683.103,,2019-04-16 12:34:13,2019-04-16 12:34:13,0.004s,PASSED
owneraddress = address().streetAddress(),Chrome 73.0.3683.103,,2019-04-16 12:34:13,2019-04-16 12:34:13,0.007s,PASSED
poafirst = name().firstName(),Chrome 73.0.3683.103,,2019-04-16 12:34:13,2019-04-16 12:34:13,0.003s,PASSED
poamiddle = name().firstName(),Chrome 73.0.3683.103,,2019-04-16 12:34:13,2019-04-16 12:34:13,0.008s,PASSED
poalast = name().firstName(),Chrome 73.0.3683.103,,2019-04-16 12:34:13,2019-04-16 12:34:13,0.004s,PASSED
poaphncode = address().countryCode(),Chrome 73.0.3683.103,,2019-04-16 12:34:13,2019-04-16 12:34:13,0.002s,PASSED
poamobcode = address().countryCode(),Chrome 73.0.3683.103,,2019-04-16 12:34:13,2019-04-16 12:34:13,0.003s,PASSED
poaaddress = address().streetAddress(),Chrome 73.0.3683.103,,2019-04-16 12:34:13,2019-04-16 12:34:13,0.001s,PASSED
projectname = address().streetName(),Chrome 73.0.3683.103,,2019-04-16 12:34:13,2019-04-16 12:34:13,0.003s,PASSED
propertyaddress = address().streetAddress(),Chrome 73.0.3683.103,,2019-04-16 12:34:13,2019-04-16 12:34:13,0.007s,PASSED
