Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
verificationHod,Chrome 73.0.3683.103,,2019-04-17 16:19:16,2019-04-17 16:29:43,10m - 26.943s,FAILED
,,,,,,
Test Cases/verification hod/buyer/approved,Chrome 73.0.3683.103,,2019-04-17 16:19:16,2019-04-17 16:19:57,40.808s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-17 16:19:17,2019-04-17 16:19:22,4.951s,PASSED
"navigateToUrl(""http://admin-chiragh.surge.sh/"")",Chrome 73.0.3683.103,,2019-04-17 16:19:22,2019-04-17 16:19:30,8.538s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-17 16:19:30,2019-04-17 16:19:32,1.160s,PASSED
waitForPageLoad(8),Chrome 73.0.3683.103,,2019-04-17 16:19:32,2019-04-17 16:19:32,0.090s,PASSED
"click(findTestObject(""Object Repository/verification hod/approved leads tab/Page_Chiragh.com Admin/div_Username""))",Chrome 73.0.3683.103,,2019-04-17 16:19:32,2019-04-17 16:19:32,0.185s,PASSED
"setText(findTestObject(""Object Repository/verification hod/approved leads tab/Page_Chiragh.com Admin/input_Admin Panel_userName""), ""arsalankhalid"")",Chrome 73.0.3683.103,,2019-04-17 16:19:32,2019-04-17 16:19:32,0.236s,PASSED
"setEncryptedText(findTestObject(""Object Repository/verification hod/approved leads tab/Page_Chiragh.com Admin/input_Username_password""), ""RigbBhfdqODKcAsiUrg+1Q=="")",Chrome 73.0.3683.103,,2019-04-17 16:19:32,2019-04-17 16:19:32,0.263s,PASSED
"click(findTestObject(""Object Repository/verification hod/approved leads tab/Page_Chiragh.com Admin/button_Login""))",Chrome 73.0.3683.103,,2019-04-17 16:19:32,2019-04-17 16:19:32,0.096s,PASSED
"click(findTestObject(""Object Repository/verification hod/buyer/Page_Chiragh.com Admin/a_Buyer""))",Chrome 73.0.3683.103,,2019-04-17 16:19:32,2019-04-17 16:19:36,3.565s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-17 16:19:36,2019-04-17 16:19:41,5.034s,PASSED
"click(findTestObject(""Object Repository/verification hod/approved leads tab/Page_Chiragh.com Admin/a_Approved Leads""))",Chrome 73.0.3683.103,,2019-04-17 16:19:41,2019-04-17 16:19:41,0.222s,PASSED
delay(15),Chrome 73.0.3683.103,,2019-04-17 16:19:41,2019-04-17 16:19:56,15.004s,PASSED
